,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
19656,One Kiss,2016,102,Drama,6.7,859,RS,,Ivan Cotroneo,1968,,"writer,director,producer",director,,,,,,,,,,,
19658,Tammy,2014,97,"Comedy,Romance",4.9,44345,BR,,Ben Falcone,1973,,"actor,producer,soundtrack",director,,,,,,,,,,,
19660,The Boss,2016,99,Comedy,5.4,39096,BR,,Ben Falcone,1973,,"actor,producer,soundtrack",director,,,,,,,,,,,
19663,Life of the Party,2018,105,Comedy,5.5,25756,BR,,Ben Falcone,1973,,"actor,producer,soundtrack",actor,,"[""Uber Driver""]",,,,,,,,,
19665,Shadow of the Monarch,2017,110,"Action,Mystery,Thriller",7.1,16,US,,John Luksetich,,,"actor,writer,producer",actor,,"[""Butterfly Man""]",,,,,,,,,
19667,Battle Force,2012,102,"Action,War",3.3,911,US,,Scott Martin,1975,,"producer,writer,actor",actor,,"[""Lt. Allen Wright""]",,,,,,,,,
19668,Plaga Zombie: Zona Mutante: Revolución Tóxica,2011,100,"Action,Comedy,Sci-Fi",6.8,96,,,Hernán Sáez,1978,,"director,actor,producer",actor,,"[""Max Giggs""]",,,,,,,,,
19677,The Council,2014,80,"Comedy,Documentary,Family",8,8,XWW,en,Yahya Alabdallah,1978,,"director,writer,producer",director,,,,,,,,,,,
19678,A Common Man,2013,86,"Action,Thriller",4.7,2129,BR,,Chandran Rutnam,,,"producer,director,writer",director,,,,,,,,,,,
19680,V/H/S,2012,116,"Horror,Thriller",5.8,53034,US,,Justin Martinez,,,"camera_department,visual_effects,producer",director,,,,,,,,,,,
19790,V/H/S,2012,116,"Horror,Thriller",5.8,53034,US,,David Bruckner,,,"writer,director,actor",director,,,,,,,,,,,
19900,Southbound,2015,89,"Fantasy,Horror,Thriller",5.9,14257,IT,,David Bruckner,,,"writer,director,actor",director,,,,,,,,,,,
19924,V/H/S,2012,116,"Horror,Thriller",5.8,53034,US,,Tyler Gillett,,,"cinematographer,director,camera_department",director,,,,,,,,,,,
20034,V/H/S,2012,116,"Horror,Thriller",5.8,53034,US,,Glenn McQuaid,1973,,"visual_effects,miscellaneous,director",director,,,,,,,,,,,
20144,V/H/S,2012,116,"Horror,Thriller",5.8,53034,RS,,Radio Silence,,,"producer,director,actor",director,,,,,,,,,,,
20254,Drinking Buddies,2013,90,"Comedy,Drama,Romance",6.1,53546,US,,Joe Swanberg,1981,,"writer,actor,producer",director,,,,,,,,,,,
20255,Happy Christmas,2014,82,"Comedy,Drama",5.5,7217,BR,,Joe Swanberg,1981,,"writer,actor,producer",director,,,,,,,,,,,
20256,V/H/S,2012,116,"Horror,Thriller",5.8,53034,US,,Matt Bettinelli-Olpin,,,"actor,director,writer",director,,,,,,,,,,,
20366,spOILed,2011,90,Documentary,6.9,28,US,,Mark Mathis,,,"director,writer,producer",director,,,,,,,,,,,
20368,Paris Under Watch,2012,80,Thriller,6,559,TR,tr,Arnaud Duprey,,,"writer,director,editor",director,co-director,,,,,,,,,,
20374,Paris Under Watch,2012,80,Thriller,6,559,RU,,Cédric Jimenez,1976,,"producer,director,writer",director,,,,,,,,,,,
20380,The Connection,2014,135,"Action,Crime,Thriller",7.1,8941,VE,,Cédric Jimenez,1976,,"producer,director,writer",director,,,,,,,,,,,
20382,The Man with the Iron Heart,2017,120,"Action,Biography,Thriller",6.4,10993,DK,,Cédric Jimenez,1976,,"producer,director,writer",director,,,,,,,,,,,
20386,Fields of the Damned,2011,57,"Action,Comedy,Drama",4.1,8,US,,Nick Holley,,,"director,actor,writer",actor,,"[""Cage""]",,,,,,,,,
20388,Flicker,2012,100,"Comedy,Drama",5.8,477,XWW,en,Patrik Eklund,1978,,"director,writer,editor",director,,,,,,,,,,,
20389,The First on the List,2011,85,Comedy,6.8,326,XWW,en,Roan Johnson,1974,,"writer,director,actor",director,,,,,,,,,,,
20392,Feather,2016,98,Drama,6.4,511,,,Roan Johnson,1974,,"writer,director,actor",director,,,,,,,,,,,
20396,Lust for Love,2014,85,"Comedy,Romance",5.7,1374,US,,Anton King,,,"producer,director,writer",director,,,,,,,,,,,
20397,Oblak,2011,78,Documentary,9.1,45,HR,,Miroslav Sikavica,,,"director,writer,producer",director,,,,,,,,,,,
20398,Nuts,2012,81,Drama,5.1,69,XWW,en,Yann Coridian,,,"casting_director,writer,director",director,,,,,,,,,,,
20400,A Young Girl in Her Nineties,2016,85,Documentary,7.7,34,DE,,Yann Coridian,,,"casting_director,writer,director",director,,,,,,,,,,,
20404,Spectral,2016,107,"Action,Mystery,Sci-Fi",6.3,43347,RS,,Nic Mathieu,,,"director,writer",director,,,,,,,,,,,
20407,Spirit of Bangkok,2011,67,Documentary,6,5,DE,,Gerrit Mannes,,,"director,writer,editor",director,,,,,,,,,,,
20411,Tepenin Ardi,2012,94,"Drama,Mystery",7.3,2393,DE,,Emin Alper,1974,,"director,writer,actor",director,,,,,,,,,,,
20412,Frenzy,2015,119,Drama,7.4,2528,SE,,Emin Alper,1974,,"director,writer,actor",director,,,,,,,,,,,
20413,Happening: A Clean Energy Revolution,2017,71,Documentary,6,183,,,James Redford,1962,,"producer,director,writer",director,,,,,,,,,,,
20414,The Bullet Vanishes,2012,108,"Action,Drama,Mystery",6.6,1748,XWW,en,Chi-Leung Law,,,"director,writer,actor",director,,,,,,,,,,,
20416,German Angst,2015,112,"Drama,Fantasy,Horror",5.3,1379,RU,,Michal Kosakowski,,,"editor,director,writer",director,,,,,,,,,,,
20428,My Crackhead Uncle,2011,88,Comedy,8.4,5,US,,Steve Turner,,,"actor,writer,producer",actor,,"[""Deon Jenkins""]",,,,,,,,,
20429,The Case Against 8,2014,109,"Biography,Documentary,News",7.3,984,FI,,Ben Cotner,,,"producer,miscellaneous,writer",director,,,,,,,,,,,
20433,The Case Against 8,2014,109,"Biography,Documentary,News",7.3,984,RS,,Ryan White,,,"producer,director,writer",director,,,,,,,,,,,
20437,Good Ol' Freda,2013,86,"Biography,Documentary,History",7.3,1731,BR,,Ryan White,,,"producer,director,writer",director,,,,,,,,,,,
20439,The Practice of Beauty,2011,93,Comedy,7.3,385,US,,Viktor Shamirov,,,"writer,director,actor",actor,,,,,,,,,,,
20442,And Here's What's Happening to Me,2012,72,"Comedy,Drama",7.3,479,RU,,Viktor Shamirov,,,"writer,director,actor",actor,,"[""Valentin""]",,,,,,,,,
20444,Bigfoot County,2012,82,"Horror,Mystery,Thriller",2.9,500,DE,,Stephon Stewart,1982,,"director,actor,writer",actor,,"[""Stephon Lancaster""]",,,,,,,,,
20445,Uncontained,2011,60,Documentary,8.6,116,,,Mostafa Rezvani,,,"director,writer,editor",director,,,,,,,,,,,
20447,It May Be Love But It Doesn't Show,2011,96,Comedy,6.2,718,IT,,Ficarra,1971,,"actor,writer,director",actor,,"[""Salvo""]",,,,,,,,,
20455,L'ora legale,2017,92,Comedy,6.4,2076,AR,,Ficarra,1971,,"actor,writer,director",actor,,"[""Salvo""]",,,,,,,,,
20465,It May Be Love But It Doesn't Show,2011,96,Comedy,6.2,718,,,Picone,1971,,"actor,writer,director",actor,,"[""Valentino""]",,,,,,,,,
20473,L'ora legale,2017,92,Comedy,6.4,2076,DE,,Picone,1971,,"actor,writer,director",actor,,"[""Valentino""]",,,,,,,,,
20483,Il paese delle spose infelici,2011,82,Drama,5.9,143,IT,,Pippo Mezzapesa,1980,,"director,writer,producer",director,,,,,,,,,,,
20487,Shakal Pe Mat Ja,2011,140,"Comedy,Crime,Drama",5.4,33,IN,,Shubh,,,"actor,director,writer",actor,,"[""Ankit Sharma""]",,,,,,,,,
20488,Stateless Things,2011,115,Drama,6,138,KR,,Kyung-mook Kim,,,"director,writer,editor",director,,,,,,,,,,,
20489,Stories from Lakka Beach,2011,77,Documentary,7.6,13,GR,,Daan Veldhuizen,,,"editor,director,cinematographer",director,,,,,,,,,,,
20490,Banana Pancakes and the Children of Sticky Rice,2015,90,"Adventure,Documentary,Drama",7.1,123,MX,,Daan Veldhuizen,,,"editor,director,cinematographer",director,,,,,,,,,,,
20492,Hawk(e): The Movie,2012,99,Comedy,7,8,GB,,Philip Alexander Baker,,,"actor,producer,writer",actor,,"[""Mike Hawk""]",,,,,,,,,
20496,Fly with the Crane,2012,99,Drama,6.4,70,,,Ruijun Li,,,"director,writer,editor",director,,,,,,,,,,,
20498,River Road,2014,103,Drama,6.9,83,XWW,en,Ruijun Li,,,"director,writer,editor",director,,,,,,,,,,,
20499,Brotherhood of Blades,2014,111,Action,6.6,2428,RU,,Yang Lu,,,"director,writer,actor",director,,,,,,,,,,,
20501,Brotherhood of Blades II: The Infernal Battlefield,2017,120,"Action,Drama,History",6.7,1266,PL,,Yang Lu,,,"director,writer,actor",director,,,,,,,,,,,
20504,Raze,2013,87,"Action,Drama,Horror",5.2,5415,FR,,Josh C. Waller,,,"producer,director,writer",director,,,,,,,,,,,
20507,Camino,2015,103,"Action,Adventure,Thriller",5,882,IT,,Josh C. Waller,,,"producer,director,writer",director,,,,,,,,,,,
20509,Just Like Brothers,2012,104,Comedy,6.5,730,,,Hugo Gélin,1980,,"producer,director,writer",director,,,,,,,,,,,
20512,Two Is a Family,2016,118,"Comedy,Drama",7.4,17693,PL,,Hugo Gélin,1980,,"producer,director,writer",director,,,,,,,,,,,
20519,Love at Second Sight,2019,117,"Comedy,Drama,Romance",7.4,423,FR,,Hugo Gélin,1980,,"producer,director,writer",director,,,,,,,,,,,
20522,Dam,2015,73,Drama,6.8,44,SE,,Paul Tunge,,,"assistant_director,camera_department,cinematographer",director,,,,,,,,,,,
20523,Monica Z,2013,111,"Biography,Drama,Music",6.9,3411,FI,,Per Fly,1960,,"director,writer,actor",director,,,,,,,,,,,
20526,Here I Learned How to Love,2012,53,"Documentary,History",7.2,5,US,,Avi Angel,,,"director,writer,editor",director,,,,,,,,,,,
20527,Red House,2011,76,"Crime,Drama,Thriller",3.1,7,US,,Michael Z. Atrata,,,"writer,producer,director",actor,,"[""Romo Tyrol""]",,,,,,,,,
20528,Of Starlight,2011,66,"Drama,Fantasy,Sci-Fi",3.1,10,US,,Michael Z. Atrata,,,"writer,producer,director",actor,,"[""Det. Stam""]",,,,,,,,,
20529,The Crosses,2018,80,Documentary,8.1,12,XWW,en,Teresa Arredondo,,,"director,cinematographer,producer",director,,,,,,,,,,,
20535,Thale,2012,76,"Drama,Fantasy,Horror",5.6,5248,DE,,Aleksander Nordaas,1982,,"director,writer,editor",director,,,,,,,,,,,
20536,The Comedy,2012,95,"Comedy,Drama",6.4,4255,US,,Rick Alverson,,,"director,editor,writer",director,,,,,,,,,,,
20539,The Mountain,2018,106,Drama,5.6,306,RU,,Rick Alverson,,,"director,editor,writer",director,,,,,,,,,,,
20542,Big Bad Bugs,2012,95,"Action,Adventure,Comedy",2.4,260,US,,Peter Paul Basler,1973,,"producer,miscellaneous,assistant_director",director,,,,,,,,,,,
20544,Bastard Son of a Thousand Fathers,2016,79,"Action,Comedy,Crime",7,20,NG,,Lanre Sarumi,,,"writer,producer,director",actor,,"[""Koda""]",,,,,,,,,
20545,EMDR: A Documentary Film,2011,65,Documentary,8.9,64,US,,Michael Burns,,,"director,producer,writer",director,,,,,,,,,,,
20546,ärtico,2014,78,Drama,6.6,101,SE,,Gabriel Velázquez,1968,,"director,writer,producer",director,,,,,,,,,,,
20550,Mieganciu drugeliu tvirtove,2012,120,Drama,7.2,497,,,Algimantas Puipa,1951,,"director,writer,actor",director,,,,,,,,,,,
20552,Garden of Eden,2015,93,"Comedy,Drama,Sci-Fi",6,75,,,Algimantas Puipa,1951,,"director,writer,actor",director,,,,,,,,,,,
20554,This Ain't California,2012,100,"Documentary,History,Sport",7.3,891,,,Marten Persiel,1974,,"director,writer",director,,,,,,,,,,,
20556,30° couleur,2012,92,Comedy,5.1,82,FR,,Lucien Jean-Baptiste,,,"actor,director,writer",actor,,"[""Patrick Rima""]",,,,,,,,,
20560,Dieumerci!,2016,95,Comedy,5.8,177,FR,,Lucien Jean-Baptiste,,,"actor,director,writer",actor,,"[""Dieumerci""]",,,,,,,,,
20567,He Even Has Your Eyes,2016,95,Comedy,6.2,1662,FR,,Lucien Jean-Baptiste,,,"actor,director,writer",actor,,"[""Paul Aloka""]",,,,,,,,,
20570,Victor and the Secret of Crocodile Mansion,2012,96,"Adventure,Family,Mystery",6.4,354,PL,,Philipp Stennert,1975,,"writer,director,editor",director,,,,,,,,,,,
20580,Bunker: Project 12,2016,97,"Action,Adventure,Sci-Fi",3.3,301,,,Jaime Falero,,,"director,writer,producer",director,,,,,,,,,,,
20582,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,114,"Adventure,Comedy",7.1,35435,CA,en,Felix Herngren,1967,,"actor,writer,director",director,,,,,,,,,,,
20585,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,108,"Adventure,Comedy,Crime",6.3,4171,DK,,Felix Herngren,1967,,"actor,writer,director",director,,,,,,,,,,,
20593,Silent City,2012,90,"Drama,Fantasy",6.3,192,NL,,Threes Anna,,,"director,writer,producer",director,,,,,,,,,,,
20594,Death of a Man in the Balkans,2012,80,"Comedy,Drama",7.5,1249,RS,,Miroslav Momcilovic,1969,,"writer,director,producer",director,,,,,,,,,,,
20595,The Demented,2013,92,"Horror,Sci-Fi",3.8,1765,MX,,Christopher Roosevelt,,,"producer,actor,director",director,,,,,,,,,,,
20596,Pekka. Inside the Mind of a School Shooter,2014,90,"Documentary,Drama",6.6,57,,,Alexander Oey,,,"director,cinematographer,editor",director,,,,,,,,,,,
20597,Woody Woodpecker,2017,91,"Animation,Comedy,Family",4.2,2697,AR,,Alex Zamm,,,"director,miscellaneous,writer",director,,,,,,,,,,,
20603,Penny Pinchers,2011,114,"Comedy,Romance",6.7,806,XWW,en,Jung-hwan Kim,,,"director,producer,writer",director,,,,,,,,,,,
20604,Any Last Words?,2011,90,"Action,Western",2.9,43,US,,Vaughn Taylor,,,"actress,writer,director",actress,,"[""Belle Starr""]",,,,,,,,,
20605,Cherry Blossoms,2017,,Drama,1,20,JP,,Chihiro Ikeda,,,"director,writer,producer",director,,,,,,,,,,,
20607,"Danse la danse, Nacho Duato",2012,71,"Biography,Documentary",6,5,RU,,Alain Deymier,,,"writer,director,producer",director,,,,,,,,,,,
20608,El Clásico: More Than a Game,2011,,Documentary,7.2,14,,,Matt Robertson,,,"director,writer,producer",director,,,,,,,,,,,
20620,La fille du Martin,2013,84,"Adventure,Family,Romance",5,38,,,Samuel Thivierge,,,"actor,producer,director",actor,,"[""Daniel Richard""]",,,,,,,,,
20621,Identity,2018,93,"Crime,Drama",6.6,58,CA,en,Samuel Thivierge,,,"actor,producer,director",actor,,"[""Christopher Begin""]",,,,,,,,,
20627,Ping Pong,2012,80,"Documentary,Sport",7.3,297,GB,,Hugh Hartford,,,"producer,director,editor",director,,,,,,,,,,,
20629,Project Canada,2011,,Documentary,7.4,5,CA,,Johnathan McFarlane,,,"director,writer,editor",director,,,,,,,,,,,
20630,The Bake Street Hauntings,2011,88,Horror,3.9,117,US,,Michael Rocco,,,"director,actor,writer",actor,,"[""Adam Livingston""]",,,,,,,,,
20632,The Trace,2011,89,Drama,6.1,114,,,M. Tayfur Aydin,,,"director,actor,writer",director,,,,,,,,,,,
20633,The Pomegranate,2011,81,Drama,6.5,1098,RU,,Ümit Ünal,1965,,"writer,director,actor",director,,,,,,,,,,,
20634,On Air,2012,89,"Comedy,Drama",6.3,694,FR,,Pierre Pinaud,,,"director,writer,production_manager",director,,,,,,,,,,,
20635,Go Home,2015,98,Drama,6.4,134,FR,,Jihane Chouaib,,,"writer,director",director,,,,,,,,,,,
20636,Six Million and One,2011,93,"Biography,Documentary,History",6.8,46,DE,,David Fisher,1956,,"director,producer,writer",self,,"[""Himself""]",,,,,,,,,
20637,Bloodrape,2011,77,"Fantasy,Horror,Music",6,6,US,,Tucker Bennett,,,"actor,camera_department,producer",actor,,"[""Zeke""]",,,,,,,,,
20646,"Bravo! Common Men, Uncommon Valor",2011,118,"Documentary,History,War",8.9,20,US,,Ken Rodgers,,,"producer,director,writer",director,,,,,,,,,,,
20648,The Animal Condition,2014,90,Documentary,7.8,21,,,Michael Dahlstrom,,,"editor,director,cinematographer",actor,,,,,,,,,,,
20652,In Search of Israeli Cuisine,2016,96,Documentary,6.1,111,PL,,Roger Sherman,,,"producer,director,cinematographer",director,,,,,,,,,,,
20653,I Am Ichihashi: Journal of a Murderer,2013,83,Drama,5.1,63,JP,,Dean Fujioka,1980,,"actor,soundtrack,director",actor,,"[""Tetsuya Ichihashi""]",,,,,,,,,
20655,Atomic Age,2012,67,Drama,6,381,FR,,Héléna Klotz,,,"director,writer,casting_department",director,,,,,,,,,,,
20656,Memory Loss,2011,75,"Animation,Comedy,Family",5,5,TW,,Chia-Chi Kao,,,"producer,director,writer",director,,,,,,,,,,,
20662,The Invisible War,2012,93,"Crime,Documentary",7.6,6346,FR,,Kirby Dick,1952,,"director,writer,producer",self,,"[""Himself - Interviewer""]",,,,,,,,,
20665,Jason Becker: Not Dead Yet,2012,87,"Biography,Documentary,Music",8.1,1105,ES,,Jesse Vile,1981,,"producer,director,writer",director,,,,,,,,,,,
20666,Force Majeure,2014,120,"Comedy,Drama",7.3,41818,AR,,Ruben Östlund,1974,,"director,writer,editor",director,,,,,,,,,,,
20667,The Square,2017,151,"Comedy,Drama",7.2,44239,LT,,Ruben Östlund,1974,,"director,writer,editor",director,,,,,,,,,,,
20668,Das 9 às 5,2011,52,Documentary,2.7,15,XWW,en,Rodrigo Lacerda,,,"director,writer,editor",director,,,,,,,,,,,
20672,Das 9 às 5,2011,52,Documentary,2.7,15,PT,,Rita Alcaire,,,"director,writer,production_manager",director,,,,,,,,,,,
20676,Arbor Demon,2016,100,"Drama,Horror,Thriller",4.2,1257,XWW,en,Patrick Rea,1980,,"director,producer,writer",director,,,,,,,,,,,
20678,El fantástico mundo de Juan Orol,2012,94,"Biography,Comedy,Drama",7,168,US,,Sebastian del Amo,,,"director,writer,cinematographer",director,,,,,,,,,,,
20681,Angry Video Game Nerd: The Movie,2014,115,"Adventure,Comedy,Sci-Fi",5.6,6475,,,James Rolfe,1980,,"writer,producer,director",actor,,"[""The Angry Video Game Nerd""]",,,,,,,,,
20685,Children of Sarajevo,2012,90,Drama,6.4,580,PL,,Aida Begic,1976,,"writer,director,producer",director,,,,,,,,,,,
20686,Slaughter Drive,2017,102,Horror,3.8,31,US,,Ben Dietels,,,"actor,producer,director",actor,,"[""Doug Stevenson""]",,,,,,,,,
20687,Born on the 25th of January,2011,80,Documentary,8.9,48,EG,,Ahmed Rashwan,1969,,"director,writer,producer",director,,,,,,,,,,,
20688,The Revelation of the Pyramids,2010,106,Documentary,8,1351,XWW,en,Patrice Pooyard,,,"writer,director,editor",director,,,,,,,,,,,
20691,Outlaw,2016,90,"Drama,Thriller",6.8,25,US,,Tyler Shields,1982,,"actor,director,writer",actor,,"[""Tyler""]",,,,,,,,,
20692,How to Survive a Plague,2012,110,"Documentary,History,News",7.6,3493,PL,,David France,,,"producer,writer,director",director,,,,,,,,,,,
20698,The Field of Enchantment,2011,81,Family,6.3,190,DE,,Marie Pérennou,,,"director,writer,cinematographer",director,,,,,,,,,,,
20702,The Field of Enchantment,2011,81,Family,6.3,190,,,Claude Nuridsany,,,"director,writer,cinematographer",director,,,,,,,,,,,
20706,Law of the Jungle,2012,85,Documentary,7.5,27,FI,sv,Michael Christoffersen,1954,,"writer,director,miscellaneous",director,,,,,,,,,,,
20708,Five Broken Cameras,2011,94,"Documentary,War",7.9,5481,RU,,Guy Davidi,1978,,"director,cinematographer,editor",director,,,,,,,,,,,
20710,Mixed Feelings,2016,77,"Documentary,Drama,War",9,25,IL,,Guy Davidi,1978,,"director,cinematographer,editor",director,,,,,,,,,,,
20711,Father's Chair,2012,96,"Drama,Thriller",6.8,1165,SE,,Luciano Moura,,,"director,writer,assistant_director",director,,,,,,,,,,,
20713,Beasts of the Southern Wild,2012,93,"Adventure,Drama,Fantasy",7.3,77440,IT,,Benh Zeitlin,1982,,"director,writer,composer",director,,,,,,,,,,,
20715,Letter to the Future,2011,88,Documentary,7.6,8,BR,,Renato Martins,,,"editor,director,producer",director,,,,,,,,,,,
20716,The Last Elvis,2012,91,"Drama,Music",7,1435,US,,Armando Bo,,,"writer,director,producer",director,,,,,,,,,,,
20718,Searching for Sugar Man,2012,86,"Biography,Documentary,Music",8.2,58654,PL,,Malik Bendjelloul,1977,2014,"actor,director,writer",director,,,,,,,,,,,
20721,Generation Wealth,2018,105,Documentary,6.4,1918,PL,,Lauren Greenfield,,,"director,producer,writer",self,,"[""Herself""]",,,,,,,,,
20722,Mockingbird,2014,81,"Horror,Thriller",4.1,2032,US,,Bryan Bertino,1977,,"writer,producer,director",director,,,,,,,,,,,
20724,The Monster,2016,91,"Drama,Fantasy,Horror",5.4,13487,RS,,Bryan Bertino,1977,,"writer,producer,director",director,,,,,,,,,,,
20725,Young and Wild,2012,96,"Comedy,Drama",6.1,2269,BR,,Marialy Rivas,,,"director,writer",director,,,,,,,,,,,
20729,Stitches,2012,86,"Comedy,Horror",5.7,8214,,,Conor McMahon,,,"editor,editorial_department,director",director,,,,,,,,,,,
20731,From the Dark,2014,90,"Horror,Thriller",4.9,2668,PH,en,Conor McMahon,,,"editor,editorial_department,director",director,,,,,,,,,,,
20732,Redeemer,2014,88,"Action,Crime",5.4,1039,DK,,Ernesto Díaz Espinoza,1978,,"director,writer,editor",director,,,,,,,,,,,
20737,The Arrow of Time,2017,70,Documentary,7.6,14,,,Leila Conners,,,"director,writer,producer",director,,,,,,,,,,,
20739,Dreams,2013,,,6.8,5,US,,Thomas Walton,,,"actor,producer,writer",actor,,"[""Michael""]",,,,,,,,,
20741,The Summer of Flying Fish,2013,95,"Comedy,Drama",6.2,241,FR,,Marcela Said,,,"director,writer,actress",director,,,,,,,,,,,
20743,Los Perros,2017,94,Drama,6.4,260,FR,,Marcela Said,,,"director,writer,actress",director,,,,,,,,,,,
20744,Kosnice,2012,72,"Comedy,Drama,Romance",7.7,57,FR,,Boaz Debby,,,"director,writer,assistant_director",director,,,,,,,,,,,
20779,Kosnice,2012,72,"Comedy,Drama,Romance",7.7,57,,,Simon Dolensky,1984,,"camera_department,director,writer",director,,,,,,,,,,,
20814,In Search of the American Dream,2012,143,"Drama,Family",6.4,17,US,,Baldemar Rodriguez,,,"director,cinematographer,editor",actor,,"[""David""]",,,,,,,,,
20815,Kids Stories,2011,90,Comedy,7.9,19,FR,,Siegfried,1973,,"composer,director,cinematographer",director,,,,,,,,,,,
20816,In the Forests of Siberia,2016,105,"Adventure,Drama",7,800,CA,fr,Safy Nebbou,1968,,"director,writer,actor",director,,,,,,,,,,,
20819,Who You Think I Am,2019,101,"Comedy,Drama",7,316,ES,,Safy Nebbou,1968,,"director,writer,actor",director,,,,,,,,,,,
20822,West of Memphis,2012,147,"Crime,Documentary",7.9,9264,NZ,,Amy Berg,,,"producer,director,writer",director,,,,,,,,,,,
20824,Prophet's Prey,2015,90,"Biography,Documentary,History",7.3,1273,RU,,Amy Berg,,,"producer,director,writer",director,,,,,,,,,,,
20827,Hidden,2015,84,"Horror,Thriller",6.4,17491,,,Matt Duffer,,,"writer,producer,director",director,,,,,,,,,,,
20831,Hidden,2015,84,"Horror,Thriller",6.4,17491,DE,,Ross Duffer,,,"writer,producer,director",director,,,,,,,,,,,
20835,Almost 18,2012,110,Drama,6.3,544,,,Maarit Lalli,1964,,"director,writer,producer",director,,,,,,,,,,,
20837,The Sixth Time,2017,109,"Comedy,Drama,Romance",4.6,284,FI,,Maarit Lalli,1964,,"director,writer,producer",director,,,,,,,,,,,
20838,Derby Dogs,2012,87,Family,6,147,DE,,Tony Simpson,,,"assistant_director,director,writer",director,,,,,,,,,,,
20840,50 Children: The Rescue Mission of Mr. And Mrs. Kraus,2013,62,Documentary,7.9,271,DE,,Steven Pressman,,,"director,writer,producer",director,,,,,,,,,,,
20841,Shelter,2017,93,"Drama,Thriller",5.5,153,FR,,Eran Riklis,1954,,"director,producer,writer",director,,,,,,,,,,,
20843,Maker,2014,66,"Documentary,News",7.4,14,TW,,Mu-Ming Tsai,,,"director,cinematographer,writer",director,,,,,,,,,,,
20846,Spellbound,2011,114,"Comedy,Horror,Romance",6.9,2485,XAS,en,In-ho Hwang,,,"writer,director",director,,,,,,,,,,,
20847,S.I.U.,2011,111,"Crime,Thriller",6,171,,,Byeong-guk Hwang,,,"actor,director,writer",director,,,,,,,,,,,
20849,Born to Be Blue,2015,97,"Biography,Drama,Music",6.9,7071,,,Robert Budreau,1974,,"producer,director,writer",director,,,,,,,,,,,
20851,Stockholm,2018,92,"Comedy,Crime,Drama",6.3,1975,US,,Robert Budreau,1974,,"producer,director,writer",director,,,,,,,,,,,
20852,Byron Bay: The Meeting Place,2011,40,"Adventure,Documentary,Drama",8,9,AU,,Jonatan Lundmark,,,"director,writer",director,,,,,,,,,,,
20858,The Color of Time,2012,73,"Biography,Drama,Romance",4.4,1199,DE,,Edna Luise Biesold,,,"cinematographer,camera_department,writer",director,,,,,,,,,,,
21001,The Color of Time,2012,73,"Biography,Drama,Romance",4.4,1199,PT,,Sarah-Violet Bliss,,,"writer,director,editor",director,,,,,,,,,,,
21144,The Color of Time,2012,73,"Biography,Drama,Romance",4.4,1199,HU,,Gabrielle Demeestere,,,"director,writer,editor",director,,,,,,,,,,,
21287,Yosemite,2015,80,Drama,4.8,685,GR,,Gabrielle Demeestere,,,"director,writer,editor",director,,,,,,,,,,,
21289,The Color of Time,2012,73,"Biography,Drama,Romance",4.4,1199,US,,Alexis Gambis,,,"writer,director,producer",director,,,,,,,,,,,
21432,The Color of Time,2012,73,"Biography,Drama,Romance",4.4,1199,ES,,Brooke Goldfinch,,,"director,writer,editorial_department",director,,,,,,,,,,,
21575,The Color of Time,2012,73,"Biography,Drama,Romance",4.4,1199,US,,Shripriya Mahesh,,,"editor,director,writer",director,,,,,,,,,,,
21718,½ Revolution,2011,72,Documentary,7.5,66,GR,,Karim El Hakim,,,"cinematographer,camera_department,director",director,,,,,,,,,,,
21722,Slink,2013,80,"Horror,Thriller",2.6,354,RU,,Jared Masters,1986,,"director,writer,producer",director,,,,,,,,,,,
21725,After School Massacre,2014,73,"Comedy,Horror",3.2,216,XWW,en,Jared Masters,1986,,"director,writer,producer",director,,,,,,,,,,,
21726,The Extraordinary Voyage,2011,60,Documentary,7.3,370,,,Serge Bromberg,1961,,"producer,writer,director",director,,,,,,,,,,,
21732,The Extraordinary Voyage,2011,60,Documentary,7.3,370,SE,,Eric Lange,,,"miscellaneous,director,writer",director,co-director,,,,,,,,,,
21738,10 Cent Pistol,2014,91,"Crime,Thriller",4.7,435,,,Michael C. Martin,,,"writer,producer,director",director,,,,,,,,,,,
21739,The Red Soul,2018,90,Documentary,7.1,36,,,Jessica Gorter,,,"director,writer,editor",director,,,,,,,,,,,
21740,Hatfields and McCoys: Bad Blood,2012,82,"Drama,Western",4,422,HU,,Fred Olen Ray,1954,,"director,producer,writer",director,,,,,,,,,,,
21741,Sniper: Special Ops,2016,84,"Action,Drama,War",3.3,2119,US,,Fred Olen Ray,1954,,"director,producer,writer",director,,,,,,,,,,,
21742,Fallo per papà,2011,,Comedy,4,16,IT,,Ciro Ceruti,,,"actor,writer,director",actor,,"[""Luca""]",,,,,,,,,
21751,My Good and Beautiful Friends,2010,,Documentary,8.6,12,,,Davor Kanjir,,,"producer,director,writer",director,,,,,,,,,,,
21752,Burden of My Heart,2011,52,"Documentary,Drama,War",7.4,10,,,Yves Niyongabo,,,"writer,director,producer",director,,,,,,,,,,,
